Team,Region,Odds To Make Round of 32,Public,% Diff,Adjusted % Diff,Odds To Make Sweet 16,Public,% Diff,Adjusted % Diff,Odds To Make Elite 8,Public,% Diff,Adjusted % Diff,Odds To Make Final 4,Public,% Diff,Adjusted % Diff,Odds To Make Championship,Public,% Diff,Adjusted % Diff,To Win Tournament,Public,% Diff,Adjusted % Diff
2 Arizona,West,96.80%,96.50%,0.30%,29.04%,79.90%,86.00%,-6.10%,-487.39%,59.50%,57.40%,2.10%,124.95%,40.80%,28.70%,12.10%,493.68%,18.70%,9.20%,9.50%,177.65%,10.50%,4.50%,6.00%,63.00%
4 Duke,South,85.90%,92.20%,-6.30%,-541.17%,55.60%,57.30%,-1.70%,-94.52%,28.30%,18.50%,9.80%,277.34%,19.10%,8.80%,10.30%,196.73%,8.90%,4.10%,4.80%,42.72%,3.80%,1.60%,2.20%,8.36%
4 Auburn,East,88.70%,91.80%,-3.10%,-274.97%,66.70%,66.50%,0.20%,13.34%,27.00%,13.90%,13.10%,353.70%,16.80%,8.20%,8.60%,144.48%,10.20%,4.30%,5.90%,60.18%,5.70%,2.30%,3.40%,19.38%
1 Purdue,Midwest,99.10%,98.10%,1.00%,99.10%,83.70%,88.00%,-4.30%,-359.91%,62.70%,63.20%,-0.50%,-31.35%,39.40%,40.10%,-0.70%,-27.58%,25.40%,22.10%,3.30%,83.82%,13.20%,10.20%,3.00%,39.60%
1 N Carolina,West,98.10%,98.50%,-0.40%,-39.24%,63.10%,86.50%,-23.40%,-1476.54%,39.70%,70.00%,-30.30%,-1202.91%,20.30%,43.80%,-23.50%,-477.05%,9.20%,17.40%,-8.20%,-75.44%,4.40%,10.40%,-6.00%,-26.40%
2 Iowa St,East,91.30%,96.40%,-5.10%,-465.63%,69.10%,84.60%,-15.50%,-1071.05%,43.30%,54.20%,-10.90%,-471.97%,18.00%,15.90%,2.10%,37.80%,8.90%,9.00%,-0.10%,-0.89%,4.10%,4.50%,-0.40%,-1.64%
7 Florida,South,61.90%,78.40%,-16.50%,-1021.35%,32.60%,21.40%,11.20%,365.12%,17.30%,7.10%,10.20%,176.46%,6.80%,2.20%,4.60%,31.28%,2.10%,0.80%,1.30%,2.73%,0.80%,0.40%,0.40%,0.32%
2 Tennessee,Midwest,98.70%,95.10%,3.60%,355.32%,74.40%,79.70%,-5.30%,-394.32%,50.00%,50.00%,0.00%,0.00%,27.40%,22.80%,4.60%,126.04%,16.50%,10.50%,6.00%,99.00%,7.70%,3.90%,3.80%,29.26%
3 Illinois,East,91.80%,93.10%,-1.30%,-119.34%,59.00%,73.70%,-14.70%,-867.30%,30.30%,33.70%,-3.40%,-103.02%,9.80%,8.20%,1.60%,15.68%,4.40%,4.00%,0.40%,1.76%,2.00%,1.90%,0.10%,0.20%
10 BSU/COLO,South,54.80%,21.60%,33.20%,1819.36%,22.00%,3.20%,18.80%,413.60%,10.10%,0.70%,9.40%,94.94%,3.90%,0.20%,3.70%,14.43%,1.60%,0.10%,1.50%,2.40%,0.60%,0.00%,0.60%,0.36%
4 Alabama,West,87.00%,88.30%,-1.30%,-113.10%,61.60%,53.90%,7.70%,474.32%,29.90%,13.90%,16.00%,478.40%,12.20%,5.70%,6.50%,79.30%,3.60%,1.70%,1.90%,6.84%,1.40%,0.70%,0.70%,0.98%
6 Texas Tech,South,62.40%,52.40%,10.00%,624.00%,29.80%,13.30%,16.50%,491.70%,14.20%,5.40%,8.80%,124.96%,3.80%,1.40%,2.40%,9.12%,1.10%,0.40%,0.70%,0.77%,0.30%,0.10%,0.20%,0.06%
3 Baylor,West,90.90%,94.10%,-3.20%,-290.88%,54.10%,68.10%,-14.00%,-757.40%,19.30%,28.70%,-9.40%,-181.42%,8.80%,11.60%,-2.80%,-24.64%,2.00%,3.00%,-1.00%,-2.00%,0.70%,1.00%,-0.30%,-0.21%
6 BYU,East,78.90%,74.60%,4.30%,339.27%,35.60%,19.80%,15.80%,562.48%,15.70%,5.50%,10.20%,160.14%,3.40%,0.90%,2.50%,8.50%,1.30%,0.40%,0.90%,1.17%,0.50%,0.10%,0.40%,0.20%
5 Wisconsin,South,56.90%,68.80%,-11.90%,-677.11%,25.40%,29.80%,-4.40%,-111.76%,9.90%,8.50%,1.40%,13.86%,5.20%,3.80%,1.40%,7.28%,1.70%,1.40%,0.30%,0.51%,0.50%,0.50%,0.00%,0.00%
8 Nebraska,South,50.50%,45.10%,5.40%,272.70%,13.30%,5.60%,7.70%,102.41%,4.90%,2.00%,2.90%,14.21%,2.50%,0.80%,1.70%,4.25%,0.70%,0.30%,0.40%,0.28%,0.30%,0.20%,0.10%,0.03%
11 New Mexico,West,55.10%,43.60%,11.50%,633.65%,26.50%,13.50%,13.00%,344.50%,8.60%,3.30%,5.30%,45.58%,3.70%,0.80%,2.90%,10.73%,1.00%,0.10%,0.90%,0.90%,0.30%,0.10%,0.20%,0.06%
3 Creighton,Midwest,88.50%,93.50%,-5.00%,-442.50%,68.40%,68.10%,0.30%,20.52%,32.90%,32.60%,0.30%,9.87%,14.40%,15.00%,-0.60%,-8.64%,7.40%,5.30%,2.10%,15.54%,2.50%,1.80%,0.70%,1.75%
12 James Mad,South,43.10%,31.20%,11.90%,512.89%,15.00%,11.00%,4.00%,60.00%,3.70%,1.80%,1.90%,7.03%,1.80%,0.70%,1.10%,1.98%,0.60%,0.30%,0.30%,0.18%,0.20%,0.10%,0.10%,0.02%
7 Wash State,East,53.90%,49.20%,4.70%,253.33%,15.70%,7.20%,8.50%,133.45%,5.90%,2.70%,3.20%,18.88%,1.40%,0.50%,0.90%,1.26%,0.50%,0.20%,0.30%,0.15%,0.20%,0.10%,0.10%,0.02%
9 Texas A&M,South,49.50%,54.90%,-5.40%,-267.30%,11.60%,7.60%,4.00%,46.40%,4.20%,3.10%,1.10%,4.62%,1.80%,1.10%,0.70%,1.26%,0.60%,0.40%,0.20%,0.12%,0.10%,0.20%,-0.10%,-0.01%
5 Gonzaga,Midwest,78.40%,76.90%,1.50%,117.60%,48.90%,38.40%,10.50%,513.45%,17.20%,12.20%,5.00%,86.00%,8.00%,5.70%,2.30%,18.40%,3.50%,2.40%,1.10%,3.85%,1.20%,1.00%,0.20%,0.24%
5 St Marys,West,65.10%,73.10%,-8.00%,-520.80%,25.50%,33.70%,-8.20%,-209.10%,9.40%,7.70%,1.70%,15.98%,3.20%,3.10%,0.10%,0.32%,0.60%,0.70%,-0.10%,-0.06%,0.10%,0.30%,-0.20%,-0.02%
8 Fla Atlantic,East,57.60%,54.00%,3.60%,207.36%,11.20%,2.90%,8.30%,92.96%,3.70%,1.20%,2.50%,9.25%,1.20%,0.50%,0.70%,0.84%,0.40%,0.20%,0.20%,0.08%,0.20%,0.10%,0.10%,0.02%
4 Kansas,Midwest,81.50%,84.60%,-3.10%,-252.65%,40.20%,46.60%,-6.40%,-257.28%,12.40%,17.20%,-4.80%,-59.52%,4.50%,8.90%,-4.40%,-19.80%,1.50%,4.00%,-2.50%,-3.75%,0.50%,1.40%,-0.90%,-0.45%
5 San Diego St,East,75.50%,79.20%,-3.70%,-279.35%,23.40%,27.30%,-3.90%,-91.26%,5.90%,4.00%,1.90%,11.21%,2.00%,1.70%,0.30%,0.60%,0.50%,0.70%,-0.20%,-0.10%,0.20%,0.30%,-0.10%,-0.02%
10 Drake,East,46.20%,50.80%,-4.60%,-212.52%,13.30%,6.70%,6.60%,87.78%,3.90%,1.90%,2.00%,7.80%,0.90%,0.30%,0.60%,0.54%,0.20%,0.10%,0.10%,0.02%,0.10%,0.00%,0.10%,0.01%
9 Michigan St,West,53.20%,59.60%,-6.40%,-340.48%,20.30%,8.00%,12.30%,249.69%,10.40%,4.10%,6.30%,65.52%,3.90%,1.70%,2.20%,8.58%,1.20%,0.60%,0.60%,0.72%,0.60%,0.30%,0.30%,0.18%
6 Clemson,West,44.90%,56.40%,-11.50%,-516.35%,17.90%,16.60%,1.30%,23.27%,5.50%,5.50%,0.00%,0.00%,1.70%,1.60%,0.10%,0.17%,0.40%,0.50%,-0.10%,-0.04%,0.20%,0.20%,0.00%,0.00%
