Team,Region,Odds To Make Round of 32,Public,% Diff,Adjusted % Diff,Odds To Make Sweet 16,Public,% Diff,Adjusted % Diff,Odds To Make Elite 8,Public,% Diff,Adjusted % Diff,Odds To Make Final 4,Public,% Diff,Adjusted % Diff,Odds To Make Championship,Public,% Diff,Adjusted % Diff,To Win Tournament,Public,% Diff,Adjusted % Diff
4 Auburn,East,88.70%,91.80%,-3.10%,-274.97%,66.70%,66.50%,0.20%,13.34%,27.00%,13.90%,13.10%,353.70%,16.80%,8.20%,8.60%,144.48%,10.20%,4.30%,5.90%,60.18%,5.70%,2.30%,3.40%,19.38%
2 Arizona,West,91.80%,96.50%,-4.70%,-431.46%,70.30%,86.00%,-15.70%,-1103.71%,45.20%,57.40%,-12.20%,-551.44%,26.90%,28.70%,-1.80%,-48.42%,13.30%,9.20%,4.10%,54.53%,7.70%,4.50%,3.20%,24.64%
2 Marquette,South,91.50%,95.60%,-4.10%,-375.15%,60.60%,74.10%,-13.50%,-818.10%,35.30%,37.60%,-2.30%,-81.19%,17.30%,14.40%,2.90%,50.17%,8.90%,6.40%,2.50%,22.25%,4.00%,2.20%,1.80%,7.20%
2 Tennessee,Midwest,96.40%,95.10%,1.30%,125.32%,68.70%,79.70%,-11.00%,-755.70%,43.00%,50.00%,-7.00%,-301.00%,22.40%,22.80%,-0.40%,-8.96%,11.60%,10.50%,1.10%,12.76%,5.30%,3.90%,1.40%,7.42%
1 N Carolina,West,97.50%,98.50%,-1.00%,-97.50%,52.30%,86.50%,-34.20%,-1788.66%,30.10%,70.00%,-39.90%,-1200.99%,15.80%,43.80%,-28.00%,-442.40%,6.00%,17.40%,-11.40%,-68.40%,2.80%,10.40%,-7.60%,-21.28%
4 Alabama,West,79.10%,88.30%,-9.20%,-727.72%,46.90%,53.90%,-7.00%,-328.30%,23.10%,13.90%,9.20%,212.52%,11.70%,5.70%,6.00%,70.20%,4.40%,1.70%,2.70%,11.88%,2.00%,0.70%,1.30%,2.60%
4 Duke,South,88.70%,92.20%,-3.50%,-310.45%,56.40%,57.30%,-0.90%,-50.76%,24.60%,18.50%,6.10%,150.06%,13.10%,8.80%,4.30%,56.33%,6.40%,4.10%,2.30%,14.72%,2.70%,1.60%,1.10%,2.97%
6 Texas Tech,South,65.90%,52.40%,13.50%,889.65%,32.20%,13.30%,18.90%,608.58%,15.60%,5.40%,10.20%,159.12%,6.50%,1.40%,5.10%,33.15%,2.90%,0.40%,2.50%,7.25%,1.10%,0.10%,1.00%,1.10%
3 Creighton,Midwest,88.90%,93.50%,-4.60%,-408.94%,60.40%,68.10%,-7.70%,-465.08%,30.70%,32.60%,-1.90%,-58.33%,14.40%,15.00%,-0.60%,-8.64%,6.70%,5.30%,1.40%,9.38%,2.70%,1.80%,0.90%,2.43%
6 BYU,East,74.60%,74.60%,0.00%,0.00%,36.70%,19.80%,16.90%,620.23%,16.80%,5.50%,11.30%,189.84%,4.90%,0.90%,4.00%,19.60%,2.10%,0.40%,1.70%,3.57%,0.90%,0.10%,0.80%,0.72%
